TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
lymphoid_neoplasm	lymphoid_neoplasm	0.0144150816524763	-4.23948028349739	12233	19	0.95	20	16828	9453,51478,10654,4597,1595,2224,3156,1717,1718,2222,91734,3157,6713,7108,3422,4047,3930,50814,4598	GGPS1,HSD17B7,PMVK,MVD,CYP51A1,FDPS,HMGCR,DHCR7,DHCR24,FDFT1,IDI2,HMGCS1,SQLE,TM7SF2,IDI1,LSS,LBR,NSDHL,MVK
pancreas-carcinoma	pancreas-carcinoma	0.0734980875871536	-2.61049589232425	14770	20	1	20	16828	1717,1718,2222,9453,51478,10654,4597,1595,2224,3156,3930,4047,50814,4598,91734,3157,6713,7108,3422,10682	DHCR7,DHCR24,FDFT1,GGPS1,HSD17B7,PMVK,MVD,CYP51A1,FDPS,HMGCR,LBR,LSS,NSDHL,MVK,IDI2,HMGCS1,SQLE,TM7SF2,IDI1,EBP
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-classic	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-classic	0.073797427791509	-2.60643140175671	14773	20	1	20	16828	91734,6713,3157,7108,10682,3422,3930,4047,50814,4598,9453,4597,10654,51478,2224,1595,3156,1717,1718,2222	IDI2,SQLE,HMGCS1,TM7SF2,EBP,IDI1,LBR,LSS,NSDHL,MVK,GGPS1,MVD,PMVK,HSD17B7,FDPS,CYP51A1,HMGCR,DHCR7,DHCR24,FDFT1
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma	0.073797427791509	-2.60643140175671	14773	20	1	20	16828	4598,3930,4047,50814,7108,10682,3422,91734,6713,3157,1718,2222,1717,2224,1595,3156,9453,10654,4597,51478	MVK,LBR,LSS,NSDHL,TM7SF2,EBP,IDI1,IDI2,SQLE,HMGCS1,DHCR24,FDFT1,DHCR7,FDPS,CYP51A1,HMGCR,GGPS1,PMVK,MVD,HSD17B7
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	0.073797427791509	-2.60643140175671	14773	20	1	20	16828	51478,4597,10654,9453,3156,1595,2224,1717,2222,1718,3157,6713,91734,3422,10682,7108,50814,3930,4047,4598	HSD17B7,MVD,PMVK,GGPS1,HMGCR,CYP51A1,FDPS,DHCR7,FDFT1,DHCR24,HMGCS1,SQLE,IDI2,IDI1,EBP,TM7SF2,NSDHL,LBR,LSS,MVK
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-desmoplastic	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-desmoplastic	0.073797427791509	-2.60643140175671	14773	20	1	20	16828	51478,10654,4597,9453,3156,1595,2224,1717,2222,1718,3157,6713,91734,3422,10682,7108,50814,3930,4047,4598	HSD17B7,PMVK,MVD,GGPS1,HMGCR,CYP51A1,FDPS,DHCR7,FDFT1,DHCR24,HMGCS1,SQLE,IDI2,IDI1,EBP,TM7SF2,NSDHL,LBR,LSS,MVK
classic	classic	0.0738974649688907	-2.60507675514964	14774	20	1	20	16828	4598,50814,3930,4047,10682,3422,7108,6713,3157,91734,2222,1718,1717,3156,2224,1595,4597,10654,51478,9453	MVK,NSDHL,LBR,LSS,EBP,IDI1,TM7SF2,SQLE,HMGCS1,IDI2,FDFT1,DHCR24,DHCR7,HMGCR,FDPS,CYP51A1,MVD,PMVK,HSD17B7,GGPS1
medulla	medulla	0.0742989034399806	-2.59965908591403	14778	20	1	20	16828	1595,2224,3156,9453,51478,10654,4597,1718,2222,1717,7108,3422,10682,91734,3157,6713,4598,3930,4047,50814	CYP51A1,FDPS,HMGCR,GGPS1,HSD17B7,PMVK,MVD,DHCR24,FDFT1,DHCR7,TM7SF2,IDI1,EBP,IDI2,HMGCS1,SQLE,MVK,LBR,LSS,NSDHL
desmoplastic	desmoplastic	0.0743995862822155	-2.59830489788146	14779	20	1	20	16828	4598,50814,4047,3930,3422,10682,7108,3157,6713,91734,2222,1718,1717,3156,1595,2224,51478,10654,4597,9453	MVK,NSDHL,LSS,LBR,IDI1,EBP,TM7SF2,HMGCS1,SQLE,IDI2,FDFT1,DHCR24,DHCR7,HMGCR,CYP51A1,FDPS,HSD17B7,PMVK,MVD,GGPS1
adrenal_gland-adrenal_gland-pheochromocytoma-malignant	adrenal_gland-adrenal_gland-pheochromocytoma-malignant	0.0745226274893281	-2.59665247502266	65	1	0.05	20	16828	3930	LBR
