TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
acute_myeloid_leukaemia_therapy_related	acute_myeloid_leukaemia_therapy_related	0.00132091297970483	-6.62943213017284	1523	7	0.35	20	16828	9956,266722,9394,64579,2131,9348,2135	HS3ST2,HS6ST3,HS6ST1,NDST4,EXT1,NDST3,EXTL2
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia_therapy_related	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia_therapy_related	0.00132091297970483	-6.62943213017284	1523	7	0.35	20	16828	2135,9348,2131,64579,9394,266722,9956	EXTL2,NDST3,EXT1,NDST4,HS6ST1,HS6ST3,HS3ST2
central_nervous_system-brainstem-glioma-astrocytoma_Grade_IV	central_nervous_system-brainstem-glioma-astrocytoma_Grade_IV	0.0059902535589092	-5.11762153738187	2531	8	0.4	20	16828	9394,64579,64711,266722,2132,2131,3340,90161	HS6ST1,NDST4,HS3ST6,HS6ST3,EXT2,EXT1,NDST1,HS6ST2
Burkitt_lymphoma	Burkitt_lymphoma	0.00866773668880673	-4.74814757315674	2119	7	0.35	20	16828	2131,9348,9653,9955,9956,266722,64579	EXT1,NDST3,HS2ST1,HS3ST3A1,HS3ST2,HS6ST3,NDST4
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	0.00866773668880673	-4.74814757315674	2119	7	0.35	20	16828	9348,2131,64579,266722,9955,9956,9653	NDST3,EXT1,NDST4,HS6ST3,HS3ST3A1,HS3ST2,HS2ST1
femur	femur	0.0113808342714686	-4.47582454264865	1197	5	0.25	20	16828	2131,9348,9951,266722,64579	EXT1,NDST3,HS3ST4,HS6ST3,NDST4
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	0.0149818673792467	-4.20091465050158	7307	14	0.7	20	16828	222537,9348,9953,26035,2135,3340,2131,266722,2137,64579,9394,9653,9955,9956	HS3ST5,NDST3,HS3ST3B1,GLCE,EXTL2,NDST1,EXT1,HS6ST3,EXTL3,NDST4,HS6ST1,HS2ST1,HS3ST3A1,HS3ST2
stomach-carcinoma-diffuse_adenocarcinoma	stomach-carcinoma-diffuse_adenocarcinoma	0.0184743695632235	-3.99137093650691	4383	10	0.5	20	16828	222537,9951,9348,90161,9957,3340,2131,266722,9394,2137	HS3ST5,HS3ST4,NDST3,HS6ST2,HS3ST1,NDST1,EXT1,HS6ST3,HS6ST1,EXTL3
diffuse_adenocarcinoma	diffuse_adenocarcinoma	0.0184743695632235	-3.99137093650691	4383	10	0.5	20	16828	2131,3340,9957,2137,9394,266722,9348,9951,222537,90161	EXT1,NDST1,HS3ST1,EXTL3,HS6ST1,HS6ST3,NDST3,HS3ST4,HS3ST5,HS6ST2
bone-femur-other-chondroblastoma	bone-femur-other-chondroblastoma	0.0196512134694091	-3.92961618840518	183	2	0.1	20	16828	64579,266722	NDST4,HS6ST3
brainstem	brainstem	0.0202457990593053	-3.89980796081258	3102	8	0.4	20	16828	90161,266722,64579,64711,9394,3340,2131,2132	HS6ST2,HS6ST3,NDST4,HS3ST6,HS6ST1,NDST1,EXT1,EXT2
central_nervous_system-brain-glioma-astrocytoma_Grade_III	central_nervous_system-brain-glioma-astrocytoma_Grade_III	0.0224926413889435	-3.79456707264436	1419	5	0.25	20	16828	9348,9956,9955,64579,266722	NDST3,HS3ST2,HS3ST3A1,NDST4,HS6ST3
right_upper_lobe	right_upper_lobe	0.0227138881723239	-3.78477872781775	10376	17	0.85	20	16828	8509,9348,9951,2131,9957,2132,9653,64579,9394,2137,64711,26035,222537,3340,9955,9956,266722	NDST2,NDST3,HS3ST4,EXT1,HS3ST1,EXT2,HS2ST1,NDST4,HS6ST1,EXTL3,HS3ST6,GLCE,HS3ST5,NDST1,HS3ST3A1,HS3ST2,HS6ST3
lung-right_upper_lobe-carcinoma-adenocarcinoma	lung-right_upper_lobe-carcinoma-adenocarcinoma	0.0227138881723239	-3.78477872781775	10376	17	0.85	20	16828	8509,9951,9348,2131,9957,2132,9653,9394,64579,64711,2137,26035,222537,3340,9955,9956,266722	NDST2,HS3ST4,NDST3,EXT1,HS3ST1,EXT2,HS2ST1,HS6ST1,NDST4,HS3ST6,EXTL3,GLCE,HS3ST5,NDST1,HS3ST3A1,HS3ST2,HS6ST3
chondroblastoma	chondroblastoma	0.024239143936387	-3.7197864345603	534	3	0.15	20	16828	266722,2137,64579	HS6ST3,EXTL3,NDST4
urinary_tract-bladder-carcinoma	urinary_tract-bladder-carcinoma	0.0270337357255213	-3.61066972160188	14050	20	1	20	16828	9956,9955,266722,3340,2135,26035,9953,222537,9653,64579,64711,9394,2137,2131,9957,2132,90161,8509,9951,9348	HS3ST2,HS3ST3A1,HS6ST3,NDST1,EXTL2,GLCE,HS3ST3B1,HS3ST5,HS2ST1,NDST4,HS3ST6,HS6ST1,EXTL3,EXT1,HS3ST1,EXT2,HS6ST2,NDST2,HS3ST4,NDST3
