TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
skin-upper_leg-malignant_melanoma	skin-upper_leg-malignant_melanoma	0.0307900741344477	-3.4805629093043	850	3	0.214285714285714	14	16828	2588,3425,4669	GALNS,IDUA,NAGLU
upper_leg	upper_leg	0.0336666598197752	-3.39124725418202	880	3	0.214285714285714	14	16828	2588,3425,4669	GALNS,IDUA,NAGLU
upper_aerodigestive_tract-tonsil-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-tonsil-carcinoma-squamous_cell_carcinoma	0.0408189027080573	-3.19861000319503	50	1	0.0714285714285714	14	16828	2990	GUSB
lung-carcinoma-mucoepidermoid_carcinoma	lung-carcinoma-mucoepidermoid_carcinoma	0.0598574042260855	-2.81579014157926	74	1	0.0714285714285714	14	16828	2720	GLB1
soft_tissue-fibrous_tissue_and_uncertain_origin-gastrointestinal_stromal_tumour	soft_tissue-fibrous_tissue_and_uncertain_origin-gastrointestinal_stromal_tumour	0.0606430074457248	-2.8027509437966	75	1	0.0714285714285714	14	16828	6448	SGSH
gastrointestinal_stromal_tumour	gastrointestinal_stromal_tumour	0.0622123854804289	-2.77720117557989	77	1	0.0714285714285714	14	16828	6448	SGSH
lung-right_lower_lobe-carcinoma-adenocarcinoma	lung-right_lower_lobe-carcinoma-adenocarcinoma	0.0624156319522053	-2.77393952292509	5692	8	0.571428571428571	14	16828	22901,138050,2588,4669,6448,411,2990,285362	ARSG,HGSNAT,GALNS,NAGLU,SGSH,ARSB,GUSB,SUMF1
right_lower_lobe	right_lower_lobe	0.0624156319522053	-2.77393952292509	5692	8	0.571428571428571	14	16828	138050,22901,2588,2990,411,4669,6448,285362	HGSNAT,ARSG,GALNS,GUSB,ARSB,NAGLU,SGSH,SUMF1
lymphoid_neoplasm	lymphoid_neoplasm	0.0719445474424753	-2.63185963111283	12233	13	0.928571428571429	14	16828	2588,2799,3373,153642,22901,138050,285362,3423,4669,6448,3425,411,2990	GALNS,GNS,HYAL1,ARSK,ARSG,HGSNAT,SUMF1,IDS,NAGLU,SGSH,IDUA,ARSB,GUSB
mucoepidermoid_carcinoma	mucoepidermoid_carcinoma	0.0723541462362721	-2.62618251951252	90	1	0.0714285714285714	14	16828	2720	GLB1
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_B_cell_leukaemia	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_B_cell_leukaemia	0.0760813613142565	-2.57595196771033	3828	6	0.428571428571429	14	16828	2588,411,138050,3425,6448,3423	GALNS,ARSB,HGSNAT,IDUA,SGSH,IDS
acute_lymphoblastic_B_cell_leukaemia	acute_lymphoblastic_B_cell_leukaemia	0.0760813613142565	-2.57595196771033	3828	6	0.428571428571429	14	16828	2588,3423,6448,3425,138050,411	GALNS,IDS,SGSH,IDUA,HGSNAT,ARSB
urinary_tract-bladder-carcinoma	urinary_tract-bladder-carcinoma	0.0799003838189145	-2.52697462248034	14050	14	1	14	16828	2990,411,3425,6448,4669,3423,2720,285362,138050,22901,153642,3373,2799,2588	GUSB,ARSB,IDUA,SGSH,NAGLU,IDS,GLB1,SUMF1,HGSNAT,ARSG,ARSK,HYAL1,GNS,GALNS
urinary_tract	urinary_tract	0.084983114098991	-2.4653026998858	14112	14	1	14	16828	3423,6448,4669,3425,2990,411,285362,2720,3373,22901,153642,138050,2588,2799	IDS,SGSH,NAGLU,IDUA,GUSB,ARSB,SUMF1,GLB1,HYAL1,ARSG,ARSK,HGSNAT,GALNS,GNS
bladder	bladder	0.084983114098991	-2.4653026998858	14112	14	1	14	16828	2720,285362,3425,411,2990,3423,6448,4669,2799,2588,138050,3373,22901,153642	GLB1,SUMF1,IDUA,ARSB,GUSB,IDS,SGSH,NAGLU,GNS,GALNS,HGSNAT,HYAL1,ARSG,ARSK
skin-head_neck-carcinoma-squamous_cell_carcinoma	skin-head_neck-carcinoma-squamous_cell_carcinoma	0.0918946637578087	-2.38711231705383	14191	14	1	14	16828	153642,22901,3373,138050,2588,2799,4669,6448,3423,411,2990,3425,285362,2720	ARSK,ARSG,HYAL1,HGSNAT,GALNS,GNS,NAGLU,SGSH,IDS,ARSB,GUSB,IDUA,SUMF1,GLB1
tonsil	tonsil	0.105179013367051	-2.25209149128848	133	1	0.0714285714285714	14	16828	2990	GUSB
oesophagus-lower_third-carcinoma-adenocarcinoma	oesophagus-lower_third-carcinoma-adenocarcinoma	0.107684259722079	-2.22855185478496	6302	8	0.571428571428571	14	16828	2799,138050,153642,22901,2990,3425,4669,3423	GNS,HGSNAT,ARSK,ARSG,GUSB,IDUA,NAGLU,IDS
haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue	0.10931785260862	-2.21349556128553	14368	14	1	14	16828	2720,285362,3425,2990,411,3423,4669,6448,2799,2588,138050,3373,22901,153642	GLB1,SUMF1,IDUA,GUSB,ARSB,IDS,NAGLU,SGSH,GNS,GALNS,HGSNAT,HYAL1,ARSG,ARSK
ovary-other-neoplasm	ovary-other-neoplasm	0.109376992419718	-2.21295471806142	12717	13	0.928571428571429	14	16828	2588,2799,153642,22901,3373,138050,285362,2720,6448,3423,411,2990,3425	GALNS,GNS,ARSK,ARSG,HYAL1,HGSNAT,SUMF1,GLB1,SGSH,IDS,ARSB,GUSB,IDUA
acral_lentiginous	acral_lentiginous	0.125409069001397	-2.07617433281303	745	2	0.142857142857143	14	16828	3373,4669	HYAL1,NAGLU
alveolar	alveolar	0.129479888981672	-2.04422970734126	2414	4	0.285714285714286	14	16828	22901,138050,3425,285362	ARSG,HGSNAT,IDUA,SUMF1
