"hgnc_symbol","ensembl_gene_id","external_gene_name","description","gene_biotype"
"B3GAT1","ENSG00000109956","B3GAT1","beta-1,3-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:921]","protein_coding"
"B3GAT2","ENSG00000112309","B3GAT2","beta-1,3-glucuronyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:922]","protein_coding"
"B3GAT3","ENSG00000149541","B3GAT3","beta-1,3-glucuronyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:923]","protein_coding"
"B4GALT1","ENSG00000086062","B4GALT1","beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]","protein_coding"
"B4GALT2","ENSG00000117411","B4GALT2","beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]","protein_coding"
"B4GALT3","ENSG00000158850","B4GALT3","beta-1,4-galactosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:926]","protein_coding"
"B4GALT4","ENSG00000121578","B4GALT4","beta-1,4-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:927]","protein_coding"
"B4GALT5","ENSG00000158470","B4GALT5","beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]","protein_coding"
"B4GALT6","ENSG00000118276","B4GALT6","beta-1,4-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:929]","protein_coding"
"DSE","ENSG00000111817","DSE","dermatan sulfate epimerase [Source:HGNC Symbol;Acc:HGNC:21144]","protein_coding"
"EXT1","ENSG00000182197","EXT1","exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]","protein_coding"
"EXT2","ENSG00000151348","EXT2","exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513]","protein_coding"
"EXTL1","ENSG00000158008","EXTL1","exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]","protein_coding"
"EXTL2","ENSG00000162694","EXTL2","exostosin like glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3516]","protein_coding"
"EXTL3","ENSG00000012232","EXTL3","exostosin like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]","protein_coding"
"FAM20B","ENSG00000116199","FAM20B","FAM20B glycosaminoglycan xylosylkinase [Source:HGNC Symbol;Acc:HGNC:23017]","protein_coding"
"GLCE","ENSG00000138604","GLCE","glucuronic acid epimerase [Source:HGNC Symbol;Acc:HGNC:17855]","protein_coding"
"HPSE2","ENSG00000172987","HPSE2","heparanase 2 (inactive) [Source:HGNC Symbol;Acc:HGNC:18374]","protein_coding"
"HS2ST1","ENSG00000153936","HS2ST1","heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]","protein_coding"
"HS3ST1","ENSG00000002587","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]","protein_coding"
"HS3ST2","ENSG00000122254","HS3ST2","heparan sulfate-glucosamine 3-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:5195]","protein_coding"
"HS3ST3A1","ENSG00000153976","HS3ST3A1","heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]","protein_coding"
"HS3ST3B1","ENSG00000125430","HS3ST3B1","heparan sulfate-glucosamine 3-sulfotransferase 3B1 [Source:HGNC Symbol;Acc:HGNC:5198]","protein_coding"
"HS3ST4","ENSG00000182601","HS3ST4","heparan sulfate-glucosamine 3-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:5200]","protein_coding"
"HS3ST5","ENSG00000249853","HS3ST5","heparan sulfate-glucosamine 3-sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:19419]","protein_coding"
"HS3ST6","ENSG00000162040","HS3ST6","heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]","protein_coding"
"HS3ST6","ENSG00000276333","HS3ST6","heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]","protein_coding"
"HS6ST1","ENSG00000136720","HS6ST1","heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]","protein_coding"
"HS6ST2","ENSG00000171004","HS6ST2","heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]","protein_coding"
